center_mz,width_mz
392.73245,2
395.71228,2
398.7222,2
401.73212,2
404.71194,2
407.75195,2
410.72174,2
413.7317,2
416.73157,2
419.7214,2
422.74136,2
425.73123,2
428.74115,2
431.731,2
434.7309,2
437.7408,2
440.73065,2
443.76065,2
446.73044,2
449.74036,2
452.74026,2
455.74014,2
458.75006,2
461.7399,2
464.75986,2
467.74973,2
470.73956,2
473.7495,2
476.7494,2
479.76935,2
482.74918,2
485.7591,2
488.75897,2
491.75885,2
494.76877,2
497.75864,2
500.7786,2
503.76843,2
506.76834,2
509.76822,2
512.75806,2
515.778,2
518.7679,2
521.78784,2
524.7777,2
527.7675,2
530.77747,2
533.77734,2
536.7973,2
539.7872,2
542.78705,2
545.7869,2
548.7868,2
551.79675,2
554.7866,2
557.8066,2
560.7964,2
563.7963,2
566.7962,2
569.7961,2
572.80597,2
575.79584,2
578.30414,2
581.304,2
584.3039,2
586.81213,2
589.802,2
592.81195,2
595.8118,2
598.8017,2
601.82166,2
604.81146,2
607.8314,2
610.8213,2
613.82117,2
616.82104,2
619.821,2
622.8309,2
625.83075,2
628.8306,2
631.83057,2
634.8204,2
637.84033,2
640.8302,2
643.84015,2
646.82996,2
649.8299,2
652.8398,2
655.83966,2
658.8496,2
661.8395,2
664.84937,2
667.83923,2
670.8391,2
673.84906,2
676.83887,2
679.8588,2
682.8487,2
685.85864,2
688.8585,2
691.8584,2
694.86835,2
697.85815,2
700.8681,2
703.858,2
706.85785,2
709.86774,2
712.8576,2
715.87756,2
718.86743,2
721.8773,2
724.87726,2
727.87714,2
730.877,2
733.8669,2
736.88684,2
739.87665,2
742.8766,2
745.8865,2
748.88635,2
751.8862,2
754.88617,2
757.88605,2
760.8859,2
763.8958,2
766.89575,2
769.8956,2
772.8955,2
775.8954,2
778.89526,2
781.89514,2
784.8951,2
787.90497,2
790.89484,2
793.9148,2
796.90466,2
799.90454,2
802.9144,2
805.91437,2
808.91425,2
811.9141,2
814.914,2
817.9139,2
820.91376,2
823.9237,2
826.9236,2
829.92346,2
832.92334,2
835.9333,2
838.93317,2
841.92303,2
844.9329,2
847.9228,2
850.94275,2
853.9326,2
856.9325,2
859.94244,2
862.9423,2
865.9422,2
868.93207,2
871.94196,2
874.9519,2
877.45013,2
880.45,2
883.4499,2
886.45984,2
889.4497,2
892.4596,2
895.4595,2
898.45935,2
901.4593,2
904.45917,2
907.45905,2
910.4589,2
913.4689,2
916.4587,2
919.4686,2
922.4585,2
925.4684,2
928.46826,2
931.4782,2
934.4681,2
937.47797,2
940.46783,2
943.4778,2
946.4877,2
949.48755,2
390.69574,2
393.73578,2
396.71558,2
399.7255,2
402.71536,2
405.72528,2
408.7352,2
411.71503,2
414.74503,2
417.72482,2
420.73477,2
423.73465,2
426.7245,2
429.7545,2
432.7343,2
435.7342,2
438.73407,2
441.73398,2
444.7439,2
447.73373,2
450.7537,2
453.73352,2
456.74344,2
459.74335,2
462.74323,2
465.76318,2
468.743,2
471.76294,2
474.7528,2
477.7527,2
480.7626,2
483.75247,2
486.77243,2
489.76227,2
492.76218,2
495.76205,2
498.76193,2
501.77185,2
504.76172,2
507.79172,2
510.7715,2
513.7714,2
516.7813,2
