center_mz,width_mz
391.72916,2
393.73578,2
395.71228,2
397.70886,2
399.7255,2
401.73212,2
403.71866,2
405.72528,2
407.75195,2
409.7285,2
411.71503,2
413.7317,2
415.73828,2
417.72482,2
419.7214,2
421.7481,2
423.73465,2
425.73123,2
427.7278,2
429.7545,2
431.731,2
433.72757,2
435.7342,2
437.7408,2
439.72736,2
441.73398,2
443.76065,2
445.73715,2
447.73373,2
449.74036,2
451.74698,2
453.73352,2
455.74014,2
457.75677,2
459.74335,2
461.7399,2
463.74652,2
465.76318,2
467.74973,2
469.7463,2
471.76294,2
473.7495,2
475.7461,2
477.7527,2
479.76935,2
481.7559,2
483.75247,2
485.7591,2
487.7657,2
489.76227,2
491.75885,2
493.7755,2
495.76205,2
497.75864,2
499.75522,2
501.77185,2
503.76843,2
505.765,2
507.79172,2
509.76822,2
511.7648,2
513.7714,2
515.778,2
517.7746,2
519.7712,2
521.78784,2
523.7844,2
525.77094,2
527.7675,2
529.7842,2
531.78076,2
533.77734,2
535.784,2
537.7906,2
539.7872,2
541.78375,2
543.8004,2
545.7869,2
547.7835,2
549.79016,2
551.79675,2
553.79333,2
555.7899,2
557.8066,2
559.7931,2
561.7897,2
563.7963,2
565.8029,2
567.7995,2
569.7961,2
571.81274,2
573.79926,2
575.79584,2
577.7924,2
579.31744,2
581.304,2
583.3006,2
585.3072,2
586.81213,2
588.8087,2
590.8053,2
592.81195,2
594.81854,2
596.8051,2
598.8017,2
600.8183,2
602.8149,2
604.81146,2
606.8181,2
608.8247,2
610.8213,2
612.8179,2
614.82446,2
616.82104,2
618.8176,2
620.8243,2
622.8309,2
624.82745,2
626.82404,2
628.8306,2
630.8373,2
632.8238,2
634.8204,2
636.83704,2
638.8336,2
640.8302,2
642.8368,2
644.84344,2
646.82996,2
648.8366,2
650.8432,2
652.8398,2
654.83636,2
656.843,2
658.8496,2
660.8462,2
662.8428,2
664.84937,2
666.84595,2
668.8425,2
670.8391,2
672.8558,2
674.85236,2
676.83887,2
678.8656,2
680.8521,2
682.8487,2
684.8453,2
686.86194,2
688.8585,2
690.8551,2
692.8517,2
694.86835,2
696.85486,2
698.8615,2
700.8681,2
702.8647,2
704.8512,2
706.85785,2
708.8745,2
710.8711,2
712.8576,2
714.87427,2
716.87085,2
718.86743,2
720.864,2
722.8706,2
724.87726,2
726.8638,2
728.8704,2
730.877,2
732.8736,2
734.8802,2
736.88684,2
738.8834,2
740.88,2
742.8766,2
744.8832,2
746.8898,2
748.88635,2
750.893,2
752.8896,2
754.88617,2
756.88275,2
758.88934,2
760.8859,2
762.8825,2
764.8891,2
766.89575,2
768.89233,2
770.8889,2
772.8955,2
774.8921,2
776.8887,2
778.89526,2
780.9019,2
782.8985,2
784.8951,2
786.9017,2
788.90826,2
790.89484,2
792.9014,2
794.9181,2
796.90466,2
798.91125,2
800.91785,2
802.9144,2
804.901,2
806.9076,2
808.91425,2
810.92084,2
812.9074,2
814.914,2
816.9206,2
818.9172,2
820.91376,2
822.9204,2
824.927,2
826.9236,2
828.92017,2
830.92676,2
832.92334,2
834.93,2
836.9266,2
838.93317,2
840.91974,2
842.92633,2
844.9329,2
846.9396,2
848.9261,2
850.94275,2
852.93933,2
854.9259,2
856.9325,2
858.9391,2
860.93567,2
862.9423,2
864.9389,2
866.9455,2
868.93207,2
870.93866,2
872.94525,2
874.9519,2
876.45685,2
878.4534,2
880.45,2
882.4366,2
884.4432,2
886.45984,2
888.4564,2
890.453,2
892.4596,2
894.4662,2
896.45276,2
898.45935,2
900.45593,2
902.4525,2
904.45917,2
906.45575,2
908.46234,2
910.4589,2
912.4655,2
914.4521,2
916.4587,2
918.46533,2
920.4619,2
922.4585,2
924.4751,2
926.4717,2
928.46826,2
930.46484,2
932.4715,2
934.4681,2
936.4747,2
938.47125,2
940.46783,2
942.4744,2
944.4811,2
946.4877,2
948.4642,2
